code,p22lee,p22yoon,p22sim,p22etc,p22valid,p17moon,p17HY,p17Ahn,p17sim,p17etc,p17valid,r22lee,r22yoon,r22sim,r17moon,r17HYA,r17sim,d_the,d_kuk,d_sim,win22r,winner,wingap22,sec22r,sec22
1102069,2400,2422,124,53,4999,2102,1327,1135,293,1156,4878,0.480096019,0.484496899,0.024804961,0.430914309,0.504715047,0.060065601,0.04918171,-0.020218148,-0.03526064,0.484496899,2,0.00440088,0.480096019,1
1102070,3350,3391,211,77,7029,3341,2242,1989,518,2026,8127,0.476596955,0.482429933,0.030018495,0.411098806,0.520610311,0.063738157,0.065498149,-0.038180378,-0.033719662,0.482429933,2,0.005832978,0.476596955,1
1102071,4561,5623,279,77,10540,4426,3447,2607,644,2662,11179,0.432732448,0.533491461,0.026470588,0.395920923,0.541551123,0.057608015,0.036811525,-0.008059662,-0.031137427,0.533491461,2,0.100759013,0.432732448,1
1102072,3605,4209,202,56,8072,3526,2585,2143,467,2190,8768,0.44660555,0.521432111,0.025024777,0.402144161,0.539233577,0.053261861,0.044461389,-0.017801466,-0.028237084,0.521432111,2,0.074826561,0.44660555,1
1102065,3043,2946,173,53,6215,2257,1450,1486,312,1518,5537,0.489621883,0.474014481,0.027835881,0.407621456,0.530251038,0.056348203,0.082000427,-0.056236557,-0.028512322,0.489621883,1,0.015607401,0.474014481,2
1102073,2818,3280,179,36,6313,2736,2007,1643,388,1658,6789,0.446380485,0.519562807,0.02835419,0.403004861,0.537634409,0.057151274,0.043375624,-0.018071602,-0.028797084,0.519562807,2,0.073182322,0.446380485,1
1102067,3380,3581,194,61,7216,2909,1780,1736,369,1767,6825,0.468403548,0.496258315,0.026884701,0.426227106,0.515164835,0.054065934,0.042176441,-0.01890652,-0.027181233,0.496258315,2,0.027854767,0.468403548,1
1102068,2957,3523,191,46,6717,1936,1428,1127,295,1147,4806,0.440226291,0.5244901,0.028435313,0.402829796,0.531627133,0.061381606,0.037396495,-0.007137033,-0.032946293,0.5244901,2,0.084263808,0.440226291,1
1103051,4853,4642,290,80,9865,4502,2773,2121,650,2181,10106,0.491941206,0.470552458,0.029396858,0.445477934,0.484266772,0.064318227,0.046463272,-0.013714314,-0.034921369,0.491941206,1,0.021388748,0.470552458,2
1103052,2623,2577,211,68,5479,2597,1849,1358,512,1379,6337,0.478736996,0.470341303,0.038510677,0.40981537,0.50607543,0.080795329,0.068921626,-0.035734127,-0.042284652,0.478736996,1,0.008395693,0.470341303,2
1103053,2095,2040,142,72,4349,1880,1375,1085,344,1114,4713,0.481719936,0.46907335,0.032651184,0.398896669,0.521960535,0.072989603,0.082823267,-0.052887184,-0.040338419,0.481719936,1,0.012646585,0.46907335,2
1103071,4920,4385,394,108,9807,4874,2857,2327,700,2377,10808,0.501682472,0.447129601,0.040175385,0.45096225,0.479644708,0.064766839,0.050720222,-0.032515106,-0.024591454,0.501682472,1,0.05455287,0.447129601,2
