dong_cd,dong_nm
1121065,신원동
1121066,서림동
1121082,삼성동
1121073,대학동
1122051,서초1동
1122052,서초2동
1122053,서초3동
1122054,서초4동
1122055,잠원동
1122056,반포본동
1122057,반포1동
1122058,반포2동
1122059,반포3동
1122060,반포4동
1122061,방배본동
1122062,방배1동
1122063,방배2동
1122064,방배3동
1122065,방배4동
1122066,양재1동
1122067,양재2동
1122068,내곡동
1123051,신사동
1123052,논현1동
1123053,논현2동
1123077,압구정동
1123078,청담동
1123058,삼성1동
1123059,삼성2동
1123060,대치1동
1123079,대치2동
1123063,대치4동
1123064,역삼1동
1123065,역삼2동
1123066,도곡1동
1123067,도곡2동
1123068,개포1동
1123080,개포2동
1123071,개포4동
1123072,일원본동
1123073,일원1동
1123074,일원2동
1123075,수서동
1123076,세곡동
1124051,풍납1동
1124052,풍납2동
1124053,거여1동
1124054,거여2동
1124055,마천1동
1124056,마천2동
1124057,방이1동
1124058,방이2동
1124059,오륜동
1124060,오금동
1124061,송파1동
1124062,송파2동
1124063,석촌동
1124064,삼전동
1124065,가락본동
1124066,가락1동
1124067,가락2동
1124068,문정1동
1124069,문정2동
1124081,장지동
1124071,잠실본동
1124079,잠실2동
1124080,잠실3동
1124075,잠실4동
1124077,잠실6동
1124078,잠실7동
1124082,위례동
1125075,강일동
1125053,명일제1동
1125054,명일제2동
1125055,고덕제1동
1125056,고덕제2동
1125072,암사제1동
1125058,암사제2동
1125059,암사제3동
1125061,천호제1동
1125073,천호제2동
1125063,천호제3동
1125065,성내제1동
1125066,성내제2동
1125067,성내제3동
1125074,길동
1125070,둔촌제1동
1125070,둔촌제2동
1125076,상일제1동
1125077,상일제2동
2101051,중앙동
2101052,동광동
2101053,대청동
2101054,보수동
2101056,부평동
2101057,광복동
2101058,남포동
2101059,영주제1동
2101060,영주제2동
2102051,동대신제1동
2102052,동대신제2동
2102053,동대신제3동
2102054,서대신제1동
2102056,서대신제3동
2102057,서대신제4동
2102059,부민동
2102061,아미동
2102063,초장동
2102064,충무동
2102065,남부민제1동
2102069,남부민제2동
2102068,암남동
2103051,초량제1동
2103052,초량제2동
2103053,초량제3동
2103055,초량제6동
2103056,수정제1동
2103057,수정제2동
2103059,수정제4동
2103060,수정제5동
2103070,좌천동
2103071,범일제1동
2103066,범일제2동
2103068,범일제5동
2104053,남항동
2104054,영선제1동
2104055,영선제2동
2104068,신선동
2104059,봉래제1동
2104069,봉래제2동
2104063,청학제1동
2104064,청학제2동
2104065,동삼제1동
2104066,동삼제2동
2104067,동삼제3동
2105082,부전제1동
2105052,부전제2동
2105054,연지동
2105055,초읍동
2105056,양정제1동
2105057,양정제2동
2105083,전포제1동
2105061,전포제2동
2105064,부암제1동
2105066,부암제3동
2105080,당감제1동
2105068,당감제2동
2105070,당감제4동
2105081,가야제1동
2105072,가야제2동
2105074,개금제1동
2105075,개금제2동
2105076,개금제3동
2105077,범천제1동
2105084,범천제2동
2106051,수민동
2106052,복산동
2106065,명륜동
2106055,온천제1동
2106056,온천제2동
2106057,온천제3동
2106058,사직제1동
2106059,사직제2동
2106060,사직제3동
2106061,안락제1동
2106062,안락제2동
2106063,명장제1동
2106064,명장제2동
2107070,대연제1동
2107053,대연제3동
2107054,대연제4동
2107055,대연제5동
2107056,대연제6동
2107057,용호제1동
2107058,용호제2동
2107059,용호제3동
2107060,용호제4동
2107061,용당동
2107062,감만제1동
2107063,감만제2동
2107066,문현제1동
2107067,문현제2동
2107068,문현제3동
2107069,문현제4동
2107071,우암동
2108051,구포제1동
2108052,구포제2동
2108053,구포제3동
2108056,덕천제1동
2108057,덕천제2동
2108058,덕천제3동
2108059,만덕제1동
2108060,만덕제2동
2108061,만덕제3동
2108054,금곡동
2108055,화명제1동
2108062,화명제2동
2108063,화명제3동
2109073,우제1동
2109074,우제2동
2109053,중제1동
2109054,중제2동
2109066,좌제1동
2109067,좌제2동
2109068,좌제3동
2109069,좌제4동
2109056,송정동
2109070,반여제1동
2109058,반여제2동
2109059,반여제3동
2109071,반여제4동
2109072,반송제1동
2109062,반송제2동
2109064,재송제1동
2109065,재송제2동
2109075,우제3동
2131011,기장읍
2131012,장안읍
2131031,일광면
2131013,정관읍
2131033,철마면
2110051,괴정제1동
2110052,괴정제2동
2110053,괴정제3동
2110054,괴정제4동
2110055,당리동
2110056,하단제1동
2110057,하단제2동
2110058,신평제1동
2110059,신평제2동
2110060,장림제1동
2110061,장림제2동
2110062,다대제1동
2110063,다대제2동
2110064,구평동
2110065,감천제1동
2110066,감천제2동
2111051,서제1동
2111052,서제2동
2111072,서제3동
2111057,부곡제1동
2111058,부곡제2동
2111059,부곡제3동
2111060,부곡제4동
2111061,장전제1동
2111074,장전제2동
2111064,선두구동
2111067,청룡노포동
2111068,남산동
2111069,구서제1동
2111070,구서제2동
2111071,금성동
2111073,금사회동동
2112051,대저1동
2112052,대저2동
2112053,강동동
2112055,가락동
2112056,녹산동
2112058,가덕도동
2112059,명지1동
2112060,명지2동
2113051,거제제1동
2113052,거제제2동
2113053,거제제3동
2113054,거제제4동
2113055,연산제1동
2113056,연산제2동
2113057,연산제3동
2113058,연산제4동
2113059,연산제5동
2113060,연산제6동
2113062,연산제8동
2113063,연산제9동
2114051,남천제1동
2114052,남천제2동
2114053,수영동
2114054,망미제1동
2114055,망미제2동
2114056,광안제1동
2114057,광안제2동
2114058,광안제3동
2114059,광안제4동
2114060,민락동
2115051,삼락동
2115052,모라제1동
2115054,모라제3동
2115055,덕포제1동
2115056,덕포제2동
2115057,괘법동
2115065,감전동
2115060,주례제1동
2115061,주례제2동
2115062,주례제3동
2115063,학장동
2115064,엄궁동
2201070,동인동
2201054,삼덕동
2201056,성내1동
2201059,성내2동
2201061,성내3동
2201062,대신동
2201064,남산1동
2201065,남산2동
2201066,남산3동
2201067,남산4동
2201068,대봉1동
2201069,대봉2동
2202051,신암1동
2202052,신암2동
2202053,신암3동
2202054,신암4동
2202055,신암5동
2202056,신천1·2동
2202058,신천3동
2202059,신천4동
2202060,효목1동
2202061,효목2동
2202062,도평동
2202063,불로·봉무동
2202065,지저동
2202066,동촌동
2202068,방촌동
2202069,해안동
2202073,안심1동
2202074,안심2동
2202071,공산동
2202076,안심3동
2202077,안심4동
2202078,혁신동
2203051,내당1동
2203052,내당2·3동
2203053,내당4동
2203054,비산1동
2203055,비산2·3동
2203056,비산4동
2203057,비산5동
2203058,비산6동
2203059,비산7동
2203060,평리1동
2203061,평리2동
2203062,평리3동
2203063,평리4동
2203064,평리5동
2203065,평리6동
2203066,상중이동
2203068,원대동
2204051,이천동
2204053,봉덕1동
2204054,봉덕2동
2204055,봉덕3동
2204056,대명1동
2204057,대명2동
2204058,대명3동
2204059,대명4동
2204060,대명5동
2204061,대명6동
2204064,대명9동
2204065,대명10동
